"TIPO PAPEL","ALTO","ANCHO","GR.","kg/RS","US/kg","Precio RS","x 1 hoja","final x hoja"
"ilustración",65,95,90,"27,79","1,38","38,35","0,12","0,13"
"ilustración",65,95,115,"35,5","1,38","48,99","0,15","0,16"
"ilustración",65,95,150,"46,31","1,38","63,91","0,19","0,21"
"ilustración",65,95,170,"52,48","1,38","72,42","0,22","0,24"
"ilustración",65,95,200,"61,75","1,38","85,22","0,26","0,28"
"ilustración",65,95,225,"69,47","1,46","101,43","0,30","0,33"
"ilustración",65,95,300,"92,63","1,43","132,46","0,40","0,44"
"ilustración",72,102,90,"33,05","1,43","47,26","0,14","0,16"
"ilustración",72,102,115,"42,23","1,38","58,28","0,17","0,19"
"ilustración",72,102,150,"55,08","1,38","76,01","0,23","0,25"
"ilustración",72,102,170,"62,42","1,38","86,14","0,26","0,28"
"ilustración",72,102,200,"73,44","1,46","107,22","0,32","0,35"
"ilustración",72,102,225,"82,62","1,46","120,63","0,36","0,40"
"ilustración",72,102,300,"110,16","1,46","160,83","0,48","0,53"
"ilustración",63,88,90,"24,95","1,38","34,43","0,10","0,11"
"ilustración",63,88,115,"31,88","1,38","43,99","0,13","0,15"
"ilustración",63,88,150,"41,58","1,38","57,38","0,17","0,19"
"ilustración",63,88,170,"47,12","1,38","65,03","0,20","0,21"
"ilustración",63,88,200,"55,44","1,46","80,94","0,24","0,27"
"ilustración",63,88,225,"62,37","1,46","91,06","0,27","0,30"
"ilustración",63,88,300,"83,16","1,46","121,41","0,36","0,40"
"obra",65,95,70,"21,61","1,28 ","27,66","0,08","0,09"
"obra",65,95,80,"24,7","1,28 ","31,62","0,09","0,10"
"obra",65,95,90,"27,79","1,28 ","35,57","0,11","0,12"
"obra",65,95,106,"32,73","1,35 ","44,19","0,13","0,15"
"obra",65,95,118,"36,43","1,35 ","49,18","0,15","0,16"
"obra",72,102,70,"25,7","1,28 ","32,90","0,10","0,11"
"obra",72,102,80,"29,37","1,28 ","37,59","0,11","0,12"
"obra",72,102,90,"33,04","1,28 ","42,29","0,13","0,14"
"obra",72,102,106,"38,92","1,35 ","52,54","0,16","0,17"
"obra",72,102,118,"43,33","1,35 ","58,50","0,18","0,19"
"obra",74,110,70,"28,49","1,28 ","36,47","0,11","0,12"
"obra",74,110,80,"32,56","1,28 ","41,68","0,13","0,14"
"obra",74,110,90,"36,63","1,28 ","46,89","0,14","0,15"
"obra",74,110,106,"43,14","1,35 ","58,24","0,17","0,19"
"obra",74,110,118,"48,03","1,35 ","64,84","0,19","0,21"
"obra",72,92,70,"23,18","1,28 ","29,67","0,09","0,10"
"obra",72,92,80,"26,49","1,28 ","33,91","0,10","0,11"
"obra",72,92,90,"29,8","1,28 ","38,14","0,11","0,13"
"obra",72,92,106,"35,1","1,35 ","47,39","0,14","0,16"
"obra",72,92,118,"39,07","1,35 ","52,74","0,16","0,17"
"obra",63,88,70,"19,4","1,28 ","24,83","0,07","0,08"
"obra",63,88,80,"22,18","1,28 ","28,39","0,09","0,09"
"obra",63,88,90,"24,95","1,28 ","31,94","0,10","0,11"
"obra",63,88,106,"29,38","1,35 ","39,66","0,12","0,13"
"obra",63,88,118,"32,7","1,35 ","44,15","0,13","0,15"
